epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,126.003,0.71279,0.4581,0.88664,1,0.99981,0.995,0.83649,4.3392,5.63944,3.52319,0.0014456,0.0014456,0.0014456
30,130.251,0.78172,0.47811,0.96763,1,0.99981,0.995,0.83649,5.09666,7.0207,4.53571,0.0014258,0.0014258,0.0014258
31,134.493,0.72779,0.48792,0.94768,1,0.84498,0.95917,0.76122,1.067,1.30316,1.14983,0.001406,0.001406,0.001406
32,138.768,0.7581,0.49148,0.95039,0.93968,1,0.995,0.77983,0.78337,0.83375,0.99185,0.0013862,0.0013862,0.0013862
33,143.034,0.75926,0.52955,0.90796,0.99633,1,0.995,0.874,0.64575,0.41083,0.92823,0.0013664,0.0013664,0.0013664
34,147.365,0.7251,0.45256,0.8703,0.99652,1,0.995,0.82662,0.73982,0.37882,0.96566,0.0013466,0.0013466,0.0013466
35,151.637,0.75807,0.46927,0.96704,0.99663,1,0.995,0.82591,0.76769,0.37951,0.95805,0.0013268,0.0013268,0.0013268
36,155.896,0.73132,0.4914,0.92839,0.9918,1,0.995,0.79896,0.83173,0.41394,0.97864,0.001307,0.001307,0.001307
37,160.145,0.80687,0.51749,0.9703,0.99662,1,0.995,0.8921,0.59628,0.40006,0.90902,0.0012872,0.0012872,0.0012872
38,164.465,0.68406,0.46216,0.92679,0.99648,1,0.995,0.83476,0.63385,0.37292,0.94041,0.0012674,0.0012674,0.0012674
39,168.7,0.71968,0.44579,0.94808,0.99625,1,0.995,0.79313,0.76553,0.36397,0.98141,0.0012476,0.0012476,0.0012476
40,172.929,0.72561,0.457,0.92038,0.99665,1,0.995,0.8082,0.86916,0.39096,0.98913,0.0012278,0.0012278,0.0012278
41,177.202,0.67411,0.45244,0.92395,0.99622,1,0.995,0.85188,0.71072,0.3799,0.94652,0.001208,0.001208,0.001208
42,181.502,0.77209,0.47137,0.96102,0.99633,1,0.995,0.85224,0.66149,0.35985,0.91387,0.0011882,0.0011882,0.0011882
43,185.788,0.86884,0.87068,0.98465,0.99624,1,0.995,0.84427,0.71177,0.35183,0.97276,0.0011684,0.0011684,0.0011684
